web_url,headline,snippet,word_count,source,type_of_material,date,id
https://www.nytimes.com/aponline/2019/01/08/us/ap-us-teacher-drug-charge.html,Teacher Accused of Drug Transactions With Student,A West Virginia high school teacher accused of arranging drug transactions with a student has been arrested.,126,AP,News,2019-01-08,100
https://www.nytimes.com/2019/01/02/us/politics/elizabeth-warren-2020-candidates.html,Five Ways Elizabeth Warren (and Other 2020 Hopefuls) Will Campaign When There’s No Campaign Yet,Democrats will move quickly to try to build grass-roots support and raise money — two prerequisites for any candidate hoping to break out of what is likely to be a congested pack of contenders.,1515,The New York Times,News,2019-01-02,101
https://www.nytimes.com/reuters/2019/01/04/business/04reuters-huawei-iphone.html,Chinese Phone Maker Huawei Punishes Employees for iPhone Tweet Blunder,"China's Huawei Technologies [HWT.UL] has punished two employees for New Year greetings sent on the smartphone maker's official Twitter account using an iPhone, an internal memo showed.",377,Reuters,News,2019-01-04,102
https://www.nytimes.com/2019/01/02/theater/broadway-grosses-hamilton-record.html,‘Hamilton’ Leads a Record-Breaking Holiday Week on Broadway,"The musical grossed more than $4 million, while plays showed surprising strength at the box office, too.",615,The New York Times,News,2019-01-02,103
https://www.nytimes.com/aponline/2019/01/03/us/politics/ap-us-new-congress.html,"Speaker Again, Pelosi Sees 'New Dawn' for 116th Congress",Cheering Democrats returned Nancy Pelosi to the House speaker's post Thursday as the 116th Congress ushered in a historically diverse freshman class eager to confront President Donald Trump in a new era of divided government.,1132,AP,News,2019-01-03,104
https://www.nytimes.com/reuters/2019/01/03/world/asia/03reuters-india-election-religion.html,India's Top Court to Name Panel to Weigh Demand for Temple on Disputed Site,"India's Supreme Court is likely to name a panel on Friday to hear arguments in a case that could pave the way for a controversial plan to build a Hindu temple on the ruins of a 16th-century mosque, a lawyer involved in the case said. ",355,Reuters,News,2019-01-04,105
https://www.nytimes.com/aponline/2019/01/03/sports/ncaabasketball/ap-bkw-t25-saint-marys-gonzaga.html,"Smith, Rice Help No. 17 Gonzaga Win 10th Straight, 74-62","Chandler Smith scored 17 points, Zykera Rice added 16 and No. 17 Gonzaga pulled away from Saint Mary's 74-62 on Thursday night for its 10th straight win.",153,AP,News,2019-01-04,106
https://www.nytimes.com/2019/01/03/arts/dance/dance-in-nyc-this-week.html,12 Dance Performances to See in N.Y.C. This Weekend,Our guide to dance performances happening this weekend and in the week ahead.,1306,The New York Times,News,2019-01-03,107
https://www.nytimes.com/2019/01/03/arts/comedy-in-nyc-this-week.html,5 Comedy Shows to Catch in N.Y.C. This Weekend,"Our guide to stand-up, improv and variety shows happening this weekend and in the week ahead.",399,The New York Times,News,2019-01-03,108
https://www.nytimes.com/aponline/2019/01/03/us/politics/ap-us-new-congress-pelosi.html,"Pelosi Wins Speaker Job, Will Lead House Democrats Again","Nancy Pelosi knew this moment would come, even if others had their doubts &#8212; or worked to stop her.",699,AP,News,2019-01-03,109
